,Country,Address,mts2,mts2_house,Bathrooms,Bedrooms,Price
305,Capital,Mendoza,330.0,230.0,3.0,4.0,210000.0
306,Capital,Mendoza,384.0,210.0,2.0,3.0,249990.0
307,Capital,Mendoza,520.0,159.0,2.0,3.0,165000.0
308,Capital,Mendoza,700.0,350.0,4.0,4.0,340000.0
309,Capital,Mendoza,300.0,235.0,4.0,4.0,250000.0
310,Capital,Mendoza,500.0,340.0,5.0,3.0,330000.0
311,Capital,Mendoza,220.0,400.0,3.0,4.0,210000.0
312,Capital,Mendoza,440.0,330.0,5.0,4.0,500000.0
313,Capital,Mendoza,160.0,520.0,3.0,3.0,190000.0
314,Capital,Mendoza,100.0,150.0,3.0,4.0,147000.0
315,Capital,Mendoza,215.0,210.0,3.0,4.0,190000.0
316,Capital,Mendoza,318.0,147.0,2.0,4.0,82000.0
317,Capital,Mendoza,317.0,206.0,4.0,5.0,198000.0
318,Capital,Mendoza,230.0,200.0,3.0,3.0,170000.0
319,Capital,Mendoza,720.0,360.0,5.0,3.0,550000.0
320,Capital,Mendoza,320.0,221.0,2.0,3.0,150000.0
321,Capital,Mendoza,300.0,154.0,3.0,3.0,175000.0
322,Capital,Mendoza,300.0,170.0,2.0,3.0,180000.0
323,Capital,Mendoza,1200.0,340.0,4.0,3.0,680000.0
324,Capital,Mendoza,300.0,220.0,3.0,3.0,230000.0
325,Capital,Mendoza,450.0,210.0,2.0,3.0,250000.0
326,Capital,Mendoza,410.0,334.0,4.0,4.0,270000.0
327,Capital,Mendoza,350.0,220.0,3.0,3.0,295000.0
328,Capital,Mendoza,450.0,270.0,3.0,3.0,340000.0
329,Capital,Mendoza,196.0,188.0,1.0,3.0,50000.0
330,Capital,Mendoza,129.0,119.0,3.0,3.0,55000.0
331,Capital,Mendoza,100.0,135.0,2.0,3.0,88000.0
332,Capital,Mendoza,100.0,90.0,2.0,2.0,49990.0
333,Capital,Mendoza,220.0,180.0,2.0,3.0,95000.0
334,Capital,Mendoza,98.0,141.0,2.0,4.0,110000.0
335,Capital,Mendoza,300.0,202.0,3.0,3.0,260000.0
336,Capital,Mendoza,300.0,250.0,3.0,3.0,260000.0
337,Capital,Mendoza,600.0,280.0,3.0,3.0,260000.0
338,Capital,Mendoza,300.0,250.0,3.0,4.0,335000.0
339,Capital,Mendoza,642.0,642.0,2.0,6.0,120000.0
340,Capital,Mendoza,533.0,455.0,5.0,5.0,250000.0
341,Capital,Mendoza,750.0,500.0,6.0,6.0,580000.0
342,Capital,Mendoza,300.0,253.0,3.0,4.0,180000.0
343,Capital,Mendoza,300.0,150.0,3.0,2.0,220000.0
344,Capital,Mendoza,180.0,183.0,2.0,3.0,115000.0
345,Capital,Mendoza,300.0,212.0,3.0,3.0,280000.0
