,Country,Address,mts2,mts2_house,Bathrooms,Bedrooms,Price
313,Capital,Mendoza,160m2,520m2,3,3,US$ 190.000
314,Capital,Mendoza,100m2,150m2,3,4,US$ 147.000
315,Capital,Mendoza,215m2,210m2,3,4,US$ 190.000
316,Capital,Mendoza,318m2,147m2,2,4,US$ 82.000
317,Capital,Mendoza,317m2,206m2,4,5,US$ 198.000
318,Capital,Mendoza,230m2,200m2,3,3,US$ 170.000
319,Capital,Mendoza,720m2,360m2,5,3,US$ 550.000
320,Capital,Mendoza,320m2,221m2,2,3,US$ 150.000
321,Capital,Mendoza,300m2,154m2,3,3,US$ 175.000
322,Capital,Mendoza,300m2,170m2,2,3,US$ 180.000
323,Capital,Mendoza,1200m2,340m2,4,3,US$ 680.000
324,Capital,Mendoza,300m2,220m2,3,3,US$ 230.000
325,Capital,Mendoza,450m2,210m2,2,3,US$ 250.000
326,Capital,Mendoza,410m2,334m2,4,4,US$ 270.000
327,Capital,Mendoza,350m2,220m2,3,3,US$ 295.000
328,Capital,Mendoza,450m2,270m2,3,3,US$ 340.000
329,Capital,Mendoza,196m2,188m2,1,3,US$ 50.000
330,Capital,Mendoza,129m2,119m2,3,3,US$ 55.000
331,Capital,Mendoza,100m2,135m2,2,3,US$ 88.000
332,Capital,Mendoza,100m2,90m2,2,2,US$ 49.990
333,Capital,Mendoza,220m2,180m2,2,3,US$ 95.000
334,Capital,Mendoza,98m2,141m2,2,4,US$ 110.000
335,Capital,Mendoza,300m2,202m2,3,3,US$ 260.000
336,Capital,Mendoza,300m2,250m2,3,3,US$ 260.000
337,Capital,Mendoza,600m2,280m2,3,3,US$ 260.000
338,Capital,Mendoza,300m2,250m2,3,4,US$ 335.000
339,Capital,Mendoza,642m2,642m2,2,6,US$ 120.000
340,Capital,Mendoza,533m2,455m2,5,5,US$ 250.000
341,Capital,Mendoza,750m2,500m2,6,6,US$ 580.000
342,Capital,Mendoza,300m2,253m2,3,4,US$ 180.000
343,Capital,Mendoza,300m2,150m2,3,2,US$ 220.000
344,Capital,Mendoza,180m2,183m2,2,3,US$ 115.000
345,Capital,Mendoza,300m2,212m2,3,3,US$ 280.000
346,Capital,Mendoza,400m2,230m2,3,4,US$ 210.000
347,Capital,Mendoza,300m2,160m2,3,3,US$ 220.000
348,Capital,Mendoza,380m2,240m2,3,4,US$ 240.000
349,Capital,Mendoza,960m2,1992m2,9,6,US$ 750.000
350,Capital,Mendoza,450m2,210m2,2,3,US$ 220.000
351,Capital,Mendoza,300m2,217m2,3,3,US$ 298.000
352,Capital,Mendoza,224m2,224m2,3,5,US$ 120.000
353,Capital,Mendoza,300m2,212m2,3,3,US$ 285.000
354,Capital,Mendoza,600m2,170m2,2,2,US$ 290.000
355,Capital,Mendoza,120m2,105m2,2,2,US$ 120.000
356,Capital,Mendoza,351m2,226m2,2,4,US$ 65.000
357,Capital,Mendoza,530m2,305m2,4,4,US$ 440.000
358,Capital,Mendoza,700m2,490m2,5,5,US$ 250.000
359,Capital,Mendoza,168m2,116m2,1,3,US$ 55.000
